fecha,concepto_id,monto
2024-06-01,101,32000.00
2024-06-01,102,15000.00
2024-06-01,103,8000.00
2024-06-01,104,450.00
2024-06-01,201,22000.00
2024-06-01,202,5100.00
2024-06-01,203,2400.00
2024-06-01,204,7500.00
2024-06-01,205,3000.00
2024-06-01,206,1800.00
2024-06-01,207,1200.00
2024-07-01,101,33500.00
2024-07-01,102,15000.00
2024-07-01,103,6200.00
2024-07-01,104,480.00
2024-07-01,201,22000.00
2024-07-01,202,5300.00
2024-07-01,203,2450.00
2024-07-01,204,8200.00
2024-07-01,205,3000.00
2024-07-01,206,1500.00
2024-07-01,207,1100.00
2024-08-01,101,35100.00
2024-08-01,102,15000.00
2024-08-01,103,9100.00
2024-08-01,104,510.00
2024-08-01,201,22000.00
2024-08-01,202,5200.00
2024-08-01,203,2450.00
2024-08-01,204,7900.00
2024-08-01,205,3000.00
2024-08-01,206,1500.00
2024-08-01,207,1400.00
2024-09-01,101,38000.00
2024-09-01,102,22000.00
2024-09-01,103,4000.00
2024-09-01,104,550.00
2024-09-01,201,25000.00
2024-09-01,202,5800.00
2024-09-01,203,2800.00
2024-09-01,204,9500.00
2024-09-01,205,3500.00
2024-09-01,206,1500.00
2024-09-01,207,1350.00
2024-10-01,101,40200.00
2024-10-01,102,22000.00
2024-10-01,103,5500.00
2024-10-01,104,530.00
2024-10-01,201,25000.00
2024-10-01,202,6100.00
2024-10-01,203,2850.00
2024-10-01,204,11000.00
2024-10-01,205,3500.00
2024-10-01,206,1600.00
2024-10-01,207,1600.00
2024-11-01,101,43000.00
2024-11-01,102,22000.00
2024-11-01,103,7200.00
2024-11-01,104,590.00
2024-11-01,201,25000.00
2024-11-01,202,6400.00
2024-11-01,203,2900.00
2024-11-01,204,12500.00
2024-11-01,205,3500.00
2024-11-01,206,1500.00
2024-11-01,207,1800.00
2024-12-01,101,45800.00
2024-12-01,102,30000.00
2024-12-01,103,11000.00
2024-12-01,104,620.00
2024-12-01,201,28000.00
2024-12-01,202,6900.00
2024-12-01,203,3100.00
2024-12-01,204,14000.00
2024-12-01,205,4000.00
2024-12-01,206,2200.00
2024-12-01,207,2500.00
2025-01-01,101,44000.00
2025-01-01,102,30000.00
2025-01-01,103,3000.00
2025-01-01,104,600.00
2025-01-01,201,28000.00
2025-01-01,202,6500.00
2025-01-01,203,3200.00
2025-01-01,204,9000.00
2025-01-01,205,3000.00
2025-01-01,206,1500.00
2025-01-01,207,1300.00
2025-02-01,101,46500.00
2025-02-01,102,30000.00
2025-02-01,103,4500.00
2025-02-01,104,640.00
2025-02-01,201,28000.00
2025-02-01,202,6700.00
2025-02-01,203,3250.00
2025-02-01,204,9500.00
2025-02-01,205,3000.00
2025-02-01,206,1500.00
2025-02-01,207,1400.00
2025-03-01,101,49100.00
2025-03-01,102,35000.00
2025-03-01,103,6000.00
2025-03-01,104,710.00
2025-03-01,201,32000.00
2025-03-01,202,7100.00
2025-03-01,203,3500.00
2025-03-01,204,11000.00
2025-03-01,205,3500.00
2025-03-01,206,1800.00
2025-03-01,207,1650.00
2025-04-01,101,52000.00
2025-04-01,102,35000.00
2025-04-01,103,5000.00
2025-04-01,104,750.00
2025-04-01,201,32000.00
2025-04-01,202,7300.00
2025-04-01,203,3600.00
2025-04-01,204,11500.00
2025-04-01,205,3500.00
2025-04-01,206,1500.00
2025-04-01,207,1500.00
2025-05-01,101,55300.00
2025-05-01,102,35000.00
2025-05-01,103,8500.00
2025-05-01,104,820.00
2025-05-01,201,32000.00
2025-05-01,202,7800.00
2025-05-01,203,3650.00
2025-05-01,204,13000.00
2025-05-01,205,3500.00
2025-05-01,206,1500.00
2025-05-01,207,1900.00
2025-06-01,101,58000.00
2025-06-01,102,45000.00
2025-06-01,103,4500.00
2025-06-01,104,890.00
2025-06-01,201,36000.00
2025-06-01,202,8200.00
2025-06-01,203,4100.00
2025-06-01,204,14000.00
2025-06-01,205,4500.00
2025-06-01,206,2000.00
2025-06-01,207,2100.00
2025-07-01,101,61200.00
2025-07-01,102,45000.00
2025-07-01,103,3000.00
2025-07-01,104,930.00
2025-07-01,201,36000.00
2025-07-01,202,8500.00
2025-07-01,203,4150.00
2025-07-01,204,14500.00
2025-07-01,205,4500.00
2025-07-01,206,2000.00
2025-07-01,207,1950.00
2025-08-01,101,64000.00
2025-08-01,102,45000.00
2025-08-01,103,7500.00
2025-08-01,104,980.00
2025-08-01,201,36000.00
2025-08-01,202,8400.00
2025-08-01,203,4200.00
